"anthocyanin
Group of naturally occurring substances found in plants that give fruits, vegetables, and plants...
Categories: Antioxidants, Plant Extracts",BEST,PC
"antioxidant
General term for a large group of natural and synthetic ingredients that work to reduce...
Categories: Antioxidants",BEST,PC
"apple fruit extract
General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically.
Categories: Antioxidants, Plant Extracts",BEST,PC
"apricot kernel
Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and...
Categories: Scrub Agents",AVERAGE,PC
"apricot kernel oil
Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils.
Categories: Plant Extracts, Emollients",BEST,PC
"arachidic acid
Derived from peanut oil and used as an emollient and thickening agent in cosmetics.
Categories: Texture Enhancer, Emollients",GOOD,PC
"arachidyl alcohol
Waxy substance used as a thickening agent and emollient in cosmetics.
Categories: Texture Enhancer, Emollients",GOOD,PC
"arachidyl glucoside
A mild surfactant (cleansing) and emulsifying agent, made from...
Categories: Cleansing Agents",GOOD,PC
"arachidyl propionate
Waxy substance used as a thickening agent and emollient in cosmetics.
Categories: Texture Enhancer, Emollients",GOOD,PC
"Arachis hypogaea extract
Extract of the plant commonly known as the peanut. It can have emollient and skin soothing...
Categories: Skin-Soothing, Emollients, Plant Extracts",BEST,PC
"arbutin
Isolated from the leaves of the bearberry shrub, cranberry, blueberry, some...
Categories: Plant Extracts",BEST,PC
"Arctium lappa
Categories: Skin-Soothing, Plant Extracts, Antioxidants",BEST,PC
"Arctium majus
Categories: Plant Extracts, Antioxidants, Skin-Soothing",BEST,PC
"Arctostaphylos uva ursi leaf
Categories: Antioxidants, Plant Extracts",BEST,PC
"argan oil
Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin...
Categories: Antioxidants, Emollients, Plant Extracts",BEST,PC
"Argania spinosa
Categories: Antioxidants, Plant Extracts",BEST,PC
"Argania spinosa kernel oil
Argania spinosa kernel oil is the latin name for the oil expressed from the kernels of the argan tree.
Categories: Emollients, Antioxidants, Plant Extracts",BEST,PC
"arginine
Amino acid that has antioxidant properties and can be helpful for soothing skin (Sources: Journal...
Categories: Antioxidants",GOOD,PC
"Argireline
Categories: Skin-Restoring",GOOD,PC
"Aristotelia chilensis (maqui)
Maqui, also known as Chilean wineberry, is a richly-colored berry that contains a potent type of antioxidant anthocyanidin known as delphinidins.
Categories: Antioxidants, Plant Extracts",BEST,PC
"arnica extract
Extract from the plant Arnica montana. There is research showing that when arnica is taken orally...
Categories: Plant Extracts",POOR,PC
"aroma/flavor
Seeing ""aroma/flavor"" on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint....
Categories: Fragrance: Synthetic and Fragrant Plant Extracts",AVERAGE,PC
"arrowroot
Thickening agent; it has no known benefit for skin.
Categories: Texture Enhancer",AVERAGE,PC
"artemia extract
Categories: Antioxidants, Plant Extracts, Emollients, Texture Enhancer",GOOD,PC
"Artemisia absinthium extract
Categories: Plant Extracts",AVERAGE,PC
"Artemisia vulgaris
Categories: Plant Extracts",AVERAGE,PC
"Ascophyllum nodosum
Species of seaweed.
Categories: Antioxidants, Emollients, Plant Extracts, Texture Enhancer",GOOD,PC
"ascorbic acid
Form of vitamin C that has antioxidant properties (Sources: Advances in Experimental Medicine and...
Categories: Antioxidants, Vitamins",BEST,PC
"ascorbyl glucosamine
Form of vitamin C that has little research showing it has the antioxidant or brightening...
Categories: Antioxidants, Vitamins",BEST,PC
"ascorbyl glucoside
Ascorbyl glucoside is a stable form of vitamin C combined with glucose.When properly formulated and absorbed into...
Categories: Antioxidants, Vitamins",BEST,PC
"ascorbyl methylsilanol pectinate
Form of vitamin C that is considered stable and that functions as an antioxidant and thickening...
Categories: Antioxidants, Texture Enhancer, Vitamins",BEST,PC
"ascorbyl palmitate
Stable and nonacidic form of vitamin C that is effective as an antioxidant (Source: Biochemical and...
Categories: Antioxidants, Vitamins",BEST,PC
"asparagine
Categories: Antioxidants",GOOD,PC
"Asparagopsis armata extract
Extract derived from seaweed.
Categories: Antioxidants, Emollients, Plant Extracts, Texture Enhancer",GOOD,PC
"aspartic acid
Categories: Antioxidants, Skin-Replenishing",GOOD,PC
"astaxanthin
Categories: Antioxidants",BEST,PC
"astaxanthin extract
Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions...
Categories: Antioxidants",BEST,PC
"Astragalus membranaceus
Latin name for the Chinese herb Huang-Qi, also known as milk vetch.
Categories: Antioxidants, Plant Extracts",BEST,PC
"Astragalus sinicus
Categories: Antioxidants, Plant Extracts",GOOD,PC
